"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7375","@Web Client App Login for custom","","Sat Sep 20 22:34:49 IST 2025","passed","Sat Sep 20 22:34:56 IST 2025","","ClientApp.PO.spec.js","",""
"","2271","@Web Visual Testing","","Sat Sep 20 22:34:49 IST 2025","failed","Sat Sep 20 22:34:51 IST 2025","","Morevalidations.spec.js","",""
